Transaction_Amount,Time_Since_Last_Transaction,Transaction_Hour,Day_of_Week,Merchant_Category,Account_Age_Days,Avg_Monthly_Spend,Transaction_Frequency_Last_Week,Is_Weekend,Geographic_Risk_Score,Device_Risk_Score,Velocity_Score,Is_Fraud
15.565722631600494,9.300240713655704,2,2,0,2333,207.47608918715088,13,0,0.19088923745032868,0.1531873564736583,0.4698065643667589,0
6.005066612100667,2.6092995753260695,20,3,5,550,172.41381359495412,7,0,0.06590903370411552,0.17732865406751605,0.06536354253486015,0
19.52181985959007,1.7883883517784214,2,5,9,1172,228.57489900447925,10,0,0.14495473192297945,0.22306016958712457,1.3656975893199204,0
72.56950444452897,2.376495137042472,1,1,0,2196,434.2134304951493,9,0,0.14978184403924363,0.44384241713959,0.09884184024077099,0
5.200578856319919,20.984539769591247,2,2,4,1144,367.81862872343754,9,0,0.4848489506324488,0.44752616057073524,0.4708466661948778,0
5.200706930790647,1.2730676542936532,16,5,1,2249,1257.1268842706022,12,0,0.1388626464403234,0.26125962019449545,0.04223569968913038,0
78.95035389886067,9.860880016952201,13,1,2,752,52.102170555912565,19,1,0.08499114574926082,0.09894772602439478,0.17292761740628435,0
23.362965407775885,33.58021869956816,6,6,2,2903,338.9212220793488,11,1,0.004949665767584193,0.4337555204536571,0.25789138923922994,0
3.6538756314365495,8.367199604008269,21,1,17,1974,227.14999862834844,9,1,0.18683787506197888,0.33835607276412305,3.0346416772162783,0
16.673824013370357,34.58390129204044,20,2,7,1169,119.89414337807588,10,1,0.1791586775658093,0.11135401324723299,0.30164989689887184,0
3.687222485931029,32.83979845181241,5,4,8,1587,177.06576194499152,12,0,0.2162966324182697,0.14624906898521303,0.1070301796624286,0
3.6744570110186534,6.771208084491799,7,3,1,2426,64.82153837142643,8,0,0.24304394562975284,0.35782928172954015,0.5352796205661189,0
10.622170859949584,31.319532270317303,18,5,1,596,344.1445705144464,8,1,0.30565392815824766,0.19739444091212124,0.045973317336140136,0
0.4189849129503422,33.0585654717407,18,2,15,505,404.34764128416793,9,1,0.6279064895756483,0.25301139995047234,0.6941556132731755,0
